preprocessed_comment,target
کھوتے پتر کہتا ملک بھر فییر الیکشن کرواوں چند ارکان مشتمل اسمبلی الیکشن شفاف نہیں کروا سکتا,1.0
تھو صحافتی دلال حامد میر جعفر بالکل منہ جھوٹا منافق کتی بچے پرانی فوٹو,1.0
الطاف کتے ناجایز بچے الطاف دہشت قاتلوں ذریعے لاشیں گرایا کرتاتھا,1.0
کھوتی بچے تجھے باتیں بتاتا علاج کرواو اپنا دوسرا جیسے بیغیرت کتے نہیں لییے قابل قبول نہیں بات جمہور لعنت بغل بچے,1.0
جتنی ایم ایل این ساتھ پنجاب اسمبلی کسی کتے ساتھ خود کشی لیتا مجھے پتا,1.0
کتے بچے کسی خاص مقصد بیانیہ بنا سارے کنجر کہہ,1.0
جتنی ایم ایل این ساتھ پنجاب اسمبلی کسی کتے ساتھ خود کشی لیتا مجھے پتا سور بچے,1.0
ماں وزیر دفاع جاییں پتا رہا کتے بچے طرح بھولنا بند,1.0
بسنتی ایم کتوں سامنے ناچے گھنگھرو توڑ بچی ایسے کتی,1.0
تیرا پیدایشی مسیلہ پیدا بغیرت کتے بچے,1.0
کتے بلے چوڑے چماڑے عیسایی ہندوں بچے,1.0
بچی مادر چود بازاری فعاشہ عورت تیری ماں یار بچہ شوبازا عیاشیاں کرنے باہر کنجروں پارٹی لیکر گیا ماں چود عوام فقط عیاشیاں قوم رقوم نون لیگ کنجرو زرداری ڈاکو سمگلر گندم اپنے اپنے گریبان ھانکو تیری ماں یار کہاں,1.0
کتے بچے ہڈی کھاو مہنگایی بات ایٹم نہیں بنایا اپنا پیٹ بھر دیا خرام خورں پاکستان تباہی,1.0
انسان نہیں وعدے بھڑکیں درجن مرتبہ مار نہیں کتی بچے وقعت تمہاری نہیں دوسروں نصیحتیں شرم نہیں اتی بھڑوے,1.0
لگتا حصہ ملنا جبیں داری بےغیرت چور نااہلوں عوام پیسہ چڑھا لندن بھاگ کتے بچے,1.0
زنہ اولاد سعد رضوی خرامی ابن خرامی بارے خیال کتے بچے خرام زادے,1.0
پیی صحافت کتے بچے عوام مقبولیت قبولیت انے الیکشن جیسے گندی لفافہ خوری صحافت عوام تمہارے اندر گھسیڑ میرا نام سلیم صافی دینا,1.0
اویے بچے چھوڑ سیاست باپ اولاد کمینے انسان چھوڑ مردانگی تیرے رتی بھر ہیجڑے,1.0
اپوزیشن جانب احتجاج جاری ہینڈز ساتھ ووٹنگ کروانے مطالبہ ایین درج کتے بچے اپنے,1.0
بچے تجھ عوام پاگل سمجھتا ووٹنگ جعلی ممبر ہوتا لیگ اتنی اسانی اسمبلی باہر جاتے لعنت تجھ بھڑوے دوست لنزاری حنا بکری یاد گٹر ڈوب بیغیرت کتے,1.0
کہتا رہا کرنا تجربہ میرا ملک ڈوب جایے کتی بچے نہیں مانے ملک ملک ذلیل,1.0
یاد رکھیں ایجنسیاں اتنی ویلیاں نہیں بچی دھمکیا لیے نون لیگ کتے ہوسگتے,1.0
کہتا رہا کرنا تجربہ میرا ملک ڈوب جایے کتی بچے نہیں مانے ملک ملک ذلیل مسکرانے حادثے اٹھانے,1.0
اویے بھڑوے قبولیت چاہیے عمران خان تیری تیری مالکوں عمران خان عوام قبول ملک بکواس تیری ایسی تیسی دیں سمجھے کتے بچے لعنتی,1.0
